CustomerID,ProductID,OrderQty,OrderID
11000,771,1,43793
11000,779,1,51522
11000,878,1,51522
11000,966,1,57418
11000,934,1,57418
11000,923,1,57418
11000,707,1,57418
11000,881,1,57418
11001,777,1,43767
11001,779,1,51493
11001,878,1,51493
11001,870,1,51493
11001,871,1,51493
11001,884,1,51493
11001,712,1,51493
11001,997,1,72773
11001,870,1,72773
11001,872,1,72773
11001,708,1,72773
11002,773,1,43736
11002,782,1,51238
11002,954,1,53237
11002,711,1,53237
11003,773,1,43701
11003,783,1,51315
11003,871,1,51315
11003,870,1,51315
11003,712,1,51315
11003,957,1,57783
11003,934,1,57783
11003,923,1,57783
11003,873,1,57783
11004,772,1,43810
11004,780,1,51595
11004,878,1,51595
11004,707,1,51595
11004,955,1,57293
11004,708,1,57293
11005,778,1,43704
11005,780,1,51612
11005,930,1,51612
11005,921,1,51612
11005,873,1,51612
11005,955,1,57361
11006,773,1,43819
11006,781,1,51198
11006,871,1,51198
11006,870,1,51198
11006,955,1,58007
11007,774,1,43743
11007,783,1,51581
11007,921,1,51581
11007,930,1,51581
11007,878,1,51581
11007,711,1,51581
11007,957,1,54705
11007,707,1,54705
11008,775,1,43826
11008,783,1,51282
11008,870,1,51282
11008,871,1,51282
11008,873,1,51282
11008,954,1,53765
11008,707,1,53765
11009,777,1,43837
11009,782,1,51562
11009,873,1,51562
11009,968,1,57736
11009,708,1,57736
11010,773,1,43765
11010,783,1,51421
11010,968,1,58533
11010,712,1,58533
11011,771,1,43705
11011,783,1,51650
11011,967,1,54706
11011,882,1,54706
11012,930,1,54508
11012,921,1,54508
11012,708,1,54508
11012,922,1,68413
11012,873,1,68413
11013,922,1,56137
11013,708,1,56137
11013,930,1,74908
11013,921,1,74908
11013,711,1,74908
11014,922,1,54898
11014,708,1,54898
11014,930,1,57222
11014,921,1,57222
11014,708,1,57222
11014,859,1,57222
11015,779,1,51520
11015,878,1,51520
11015,879,1,51520
11016,784,1,52512
11016,930,1,52512
11016,873,1,52512
11017,777,1,43757
11017,784,1,51256
11017,878,1,51256
11017,962,1,68396
11018,772,1,43778
11018,779,1,51492
11018,878,1,51492
11018,962,1,69087
11018,872,1,69087
11018,870,1,69087
11018,711,1,69087
11019,922,1,52626
11019,932,1,52626
11019,875,1,52626
11019,884,1,53834
11019,922,1,54332
11019,711,1,54332
11019,875,1,54332
11019,872,1,56910
11019,923,1,57639
11019,873,1,57639
11019,932,1,58600
11019,922,1,58600
11019,876,1,58600
11019,930,1,62659
11019,873,1,62659
11019,873,1,64737
11019,928,1,65967
11019,931,1,66658
11019,873,1,66658
11019,929,1,68563
11019,921,1,68563
11019,873,1,68563
11019,707,1,69177
11019,713,1,71963
11019,858,1,71963
11019,934,1,72015
11019,923,1,72015
11019,868,1,72747
11019,884,1,72747
11019,876,1,74561
11019,923,1,74593
11019,711,1,74593
11019,860,1,74593
11020,784,1,51193
11020,878,1,51193
11021,784,1,51610
11021,878,1,51610
11021,880,1,51610
11022,779,1,51556
11022,873,1,51556
11023,930,1,52912
11023,921,1,52912
11023,878,1,52912
11023,883,1,52912
11023,922,1,74658
11023,873,1,74658
11024,921,1,60998
11024,930,1,60998
11024,873,1,60998
